text,intent
hello,greeting
hi,greeting
hey,greeting
good morning,greeting
good evening,greeting
good afternoon,greeting
what's up,greeting
how are you,greeting
hi there,greeting
howdy,greeting
hey there,greeting
greetings,greeting

when should i change engine oil,engine_oil
how often to change oil,engine_oil
engine oil change interval,engine_oil
oil change frequency,engine_oil
how many km for oil change,engine_oil
what oil to use,engine_oil
best engine oil for car,engine_oil
synthetic vs mineral oil,engine_oil
how to check engine oil,engine_oil
low engine oil warning,engine_oil
oil level how to check,engine_oil
engine oil grade,engine_oil
5w30 vs 10w40,engine_oil
can i use any engine oil,engine_oil
oil change cost,engine_oil
oil warning light,engine_oil
black oil normal,engine_oil
oil flush needed,engine_oil
engine oil smell,engine_oil

tyre pressure,tyre_maintenance
how to check tyre pressure,tyre_maintenance
tyre rotation when,tyre_maintenance
tyre alignment,tyre_maintenance
when to replace tyres,tyre_maintenance
tread depth tyres,tyre_maintenance
tubeless tyre puncture,tyre_maintenance
tyre wear uneven,tyre_maintenance
how to fix puncture,tyre_maintenance
best tyre brand india,tyre_maintenance
tyre psi,tyre_maintenance
low tyre pressure effects,tyre_maintenance
wheel balancing needed,tyre_maintenance
front and rear tyre swap,tyre_maintenance
tyre age how old,tyre_maintenance
tyre cracking sidewall,tyre_maintenance
nitrogen vs air in tyres,tyre_maintenance
spare tyre maintenance,tyre_maintenance
run flat tyres,tyre_maintenance
tyre noise while driving,tyre_maintenance

car battery,car_battery
battery life how long,car_battery
car not starting battery,car_battery
how to jump start car,car_battery
battery dead what to do,car_battery
battery terminal corrosion,car_battery
weak battery symptoms,car_battery
how often replace battery,car_battery
battery draining fast,car_battery
battery warning light,car_battery
how to check battery voltage,car_battery
car battery cost,car_battery
which battery brand,car_battery
amaron vs exide battery,car_battery
battery trickle charger,car_battery
battery terminal cleaning,car_battery

car ac not cooling,car_ac
ac service how often,car_ac
ac gas refill,car_ac
ac refrigerant,car_ac
bad smell from ac,car_ac
ac not working,car_ac
ac compressor noise,car_ac
cabin air filter change,car_ac
ac filter replacement,car_ac
ac uses more fuel,car_ac
car ac tips,car_ac
how to cool car faster,car_ac
ac blowing warm air,car_ac
ac leak car,car_ac
car ac maintenance,car_ac

brake noise squeal,brake_maintenance
brake pad replacement,brake_maintenance
when to change brakes,brake_maintenance
brake fluid change,brake_maintenance
grinding noise braking,brake_maintenance
brake pedal goes down,brake_maintenance
brake warning light,brake_maintenance
disc brake vs drum brake,brake_maintenance
brake rotor warped,brake_maintenance
how long do brakes last,brake_maintenance
brake pad cost,brake_maintenance
brake fluid type,brake_maintenance
spongy brake pedal,brake_maintenance
emergency brake use,brake_maintenance
how to check brake pads,brake_maintenance

fuel efficiency improve,fuel_efficiency
how to improve mileage,fuel_efficiency
reduce petrol consumption,fuel_efficiency
why is mileage low,fuel_efficiency
mileage dropped suddenly,fuel_efficiency
arai vs real world mileage,fuel_efficiency
ac effect on mileage,fuel_efficiency
speed for best fuel economy,fuel_efficiency
fuel saving tips,fuel_efficiency
city vs highway mileage,fuel_efficiency
idle fuel consumption,fuel_efficiency
driving style fuel efficiency,fuel_efficiency
best speed for mileage,fuel_efficiency
economy mode car,fuel_efficiency

petrol vs diesel car,petrol_vs_diesel
should i buy diesel or petrol,petrol_vs_diesel
cng car benefits,petrol_vs_diesel
cng vs petrol car,petrol_vs_diesel
electric vs petrol car,petrol_vs_diesel
diesel car worth it,petrol_vs_diesel
cng mileage,petrol_vs_diesel
diesel mileage,petrol_vs_diesel
petrol car maintenance,petrol_vs_diesel
diesel car problems,petrol_vs_diesel
electric vehicle advantages,petrol_vs_diesel
fuel type which is better,petrol_vs_diesel
cng car pros cons,petrol_vs_diesel
diesel car ban india,petrol_vs_diesel
hybrid car india,petrol_vs_diesel

what is adas,adas
adas features explained,adas
automatic emergency braking,adas
lane departure warning,adas
blind spot detection,adas
adaptive cruise control explained,adas
forward collision warning,adas
adas worth buying,adas
how does adas work,adas
adas camera cleaning,adas
adas system malfunction,adas
which cars have adas india,adas
adas after windshield replacement,adas
lane keep assist explained,adas
rear cross traffic alert,adas
